Simulation,Time,Population,Species,camouflage,feeding_bonus
2,32,2,Prey,0.5277158781519957,
2,32,23,Predator,,1.5516254186978247
2,33,2,Prey,0.5277158781519957,
2,33,23,Predator,,1.5516254186978247
2,34,1,Prey,0.5277158781519957,
2,34,23,Predator,,1.5516254186978247
2,35,1,Prey,0.5277158781519957,
2,35,19,Predator,,1.5516254186978247
2,36,1,Prey,0.5277158781519957,
2,36,18,Predator,,1.5516254186978247
2,37,1,Prey,0.5277158781519957,
2,37,16,Predator,,1.5516254186978247
2,38,2,Prey,0.5277158781519957,
2,38,15,Predator,,1.5516254186978247
2,39,3,Prey,0.5277158781519957,
2,39,14,Predator,,1.5516254186978247
2,40,4,Prey,0.5277158781519957,
2,40,14,Predator,,1.5516254186978247
2,41,1,Prey,0.5277158781519957,
2,41,13,Predator,,1.5516254186978247
2,42,2,Prey,0.5277158781519957,
2,42,13,Predator,,1.5516254186978247
2,43,2,Prey,0.5277158781519957,
2,43,13,Predator,,1.5516254186978247
2,44,3,Prey,0.5277158781519957,
2,44,12,Predator,,1.5516254186978247
2,45,1,Prey,0.5277158781519957,
2,45,12,Predator,,1.5516254186978247
2,46,1,Prey,0.5277158781519957,
2,46,11,Predator,,1.5516254186978247
2,47,1,Prey,0.5277158781519957,
2,47,11,Predator,,1.5516254186978247
2,48,1,Prey,0.5277158781519957,
2,48,10,Predator,,1.5516254186978247
2,49,2,Prey,0.5277158781519957,
2,49,9,Predator,,1.5516254186978247
2,50,2,Prey,0.5277158781519957,
2,50,7,Predator,,1.5516254186978247
2,51,2,Prey,0.5277158781519957,
2,51,7,Predator,,1.5516254186978247
2,52,2,Prey,0.5277158781519957,
2,52,7,Predator,,1.5516254186978247
2,53,2,Prey,0.5277158781519957,
2,53,7,Predator,,1.5516254186978247
2,54,2,Prey,0.5277158781519957,
2,54,8,Predator,,1.5516254186978247
2,55,1,Prey,0.5277158781519957,
2,55,7,Predator,,1.5516254186978247
2,56,1,Prey,0.5277158781519957,
2,56,7,Predator,,1.5516254186978247
2,57,2,Prey,0.5277158781519957,
2,57,6,Predator,,1.5516254186978247
2,58,3,Prey,0.5277158781519957,
2,58,6,Predator,,1.5516254186978247
2,59,2,Prey,0.5277158781519957,
2,59,7,Predator,,1.5516254186978247
3,0,89,Prey,0.7212989864367636,
3,0,70,Predator,,1.5508989554139851
3,1,72,Prey,0.7212989864367636,
3,1,82,Predator,,1.5508989554139851
3,2,43,Prey,0.7212989864367636,
